review_id,employee_id,employee_email,employee_status,app_id,app_name,entitlement,reviewer_email,decision,reviewed_at,note
REV-0001,EMP-1140,nadine.ustinov@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,ravi.chandran@acme-analytics.example,approve,2026-06-04,
REV-0002,EMP-1061,mateo.ashby@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-10,
REV-0003,EMP-1040,cedric.ashby@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-09,
REV-0004,EMP-1011,marcus.webb@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-05,
REV-0005,EMP-1127,cedric.thorne@acme-analytics.example,active,APP-09,Bellwether Wiki,member,maya.kaplan@acme-analytics.example,revoke,2026-06-02,Role change - entitlement no longer required.
REV-0006,EMP-1045,zoe.xu@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-02,
REV-0007,EMP-1132,bruno.bellini@acme-analytics.example,active,APP-02,Torchstone Desk,member,diego.fuentes@acme-analytics.example,approve,2026-06-11,
REV-0008,EMP-1084,pablo.ortega@acme-analytics.example,active,APP-09,Bellwether Wiki,member,nora.vasquez@acme-analytics.example,approve,2026-06-06,
REV-0009,EMP-1040,cedric.ashby@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0010,EMP-1094,selim.halloran@acme-analytics.example,active,APP-05,Saltmarsh CRM,member,nora.vasquez@acme-analytics.example,approve,2026-06-07,
REV-0011,EMP-1034,niko.xu@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,revoke,2026-06-11,Role change - entitlement no longer required.
REV-0012,EMP-1033,imani.engberg@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-08,
REV-0013,EMP-1092,rania.eberhardt@acme-analytics.example,active,APP-02,Torchstone Desk,member,nora.vasquez@acme-analytics.example,approve,2026-06-06,
REV-0014,EMP-1002,grace.adeyemi@acme-analytics.example,active,APP-09,Bellwether Wiki,member,grace.adeyemi@acme-analytics.example,approve,2026-06-12,
REV-0015,EMP-1051,quentin.mistry@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-11,
REV-0016,EMP-1021,fatima.alrashid@acme-analytics.example,active,APP-13,Acme Analytics Prod Admin,editor,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0017,EMP-1030,omar.haddad@acme-analytics.example,active,APP-08,Doorstile Badge Admin,admin,diego.fuentes@acme-analytics.example,approve,2026-06-02,
REV-0018,EMP-1079,zane.novak@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-06,
REV-0019,EMP-1061,mateo.ashby@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-02,
REV-0020,EMP-1005,diego.fuentes@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,diego.fuentes@acme-analytics.example,approve,2026-06-04,
REV-0021,EMP-1003,johan.brandt@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-13,
REV-0022,EMP-1057,oscar.ishikawa@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-11,
REV-0023,EMP-1055,mateo.pereira@acme-analytics.example,active,APP-14,Marrowgate Vault,member,johan.brandt@acme-analytics.example,approve,2026-06-10,
REV-0024,EMP-1121,cedric.dvorak@acme-analytics.example,active,APP-09,Bellwether Wiki,member,grace.adeyemi@acme-analytics.example,approve,2026-06-13,
REV-0025,EMP-1085,jasper.haas@acme-analytics.example,active,APP-05,Saltmarsh CRM,member,nora.vasquez@acme-analytics.example,approve,2026-06-05,
REV-0026,EMP-1062,uma.ibsen@acme-analytics.example,active,APP-09,Bellwether Wiki,member,johan.brandt@acme-analytics.example,approve,2026-06-02,
REV-0027,EMP-1008,nora.vasquez@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,nora.vasquez@acme-analytics.example,approve,2026-06-13,
REV-0028,EMP-1081,ophelia.eberhardt@acme-analytics.example,active,APP-05,Saltmarsh CRM,editor,theo.marchand@acme-analytics.example,approve,2026-06-07,
REV-0029,EMP-1136,emilio.thorne@acme-analytics.example,active,APP-02,Torchstone Desk,member,sylvia.ngata@acme-analytics.example,approve,2026-06-11,
REV-0030,EMP-1066,emilio.nunez@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,johan.brandt@acme-analytics.example,approve,2026-06-12,
REV-0031,EMP-1086,anika.dvorak@acme-analytics.example,active,APP-05,Saltmarsh CRM,member,nora.vasquez@acme-analytics.example,approve,2026-06-10,
REV-0032,EMP-1004,maya.kaplan@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,maya.kaplan@acme-analytics.example,approve,2026-06-02,
REV-0033,EMP-1066,emilio.nunez@acme-analytics.example,active,APP-04,Lanternfell Expense,member,johan.brandt@acme-analytics.example,approve,2026-06-04,
REV-0034,EMP-1012,elena.sokolova@acme-analytics.example,active,APP-02,Torchstone Desk,member,johan.brandt@acme-analytics.example,approve,2026-06-06,
REV-0035,EMP-1077,anika.haas@acme-analytics.example,active,APP-10,Glimmerfen Chat,member,theo.marchand@acme-analytics.example,approve,2026-06-05,
REV-0036,EMP-1132,bruno.bellini@acme-analytics.example,active,APP-12,Bramblehold VPN,admin,diego.fuentes@acme-analytics.example,approve,2026-06-06,
REV-0037,EMP-1125,ulric.quist@acme-analytics.example,active,APP-04,Lanternfell Expense,member,grace.adeyemi@acme-analytics.example,approve,2026-06-03,
