campaign_id,sent_at,employee_id,email,action,time_to_action_minutes
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1001,renata.voss@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1002,grace.adeyemi@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1003,johan.brandt@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1004,maya.kaplan@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1005,diego.fuentes@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1006,sylvia.ngata@acme-analytics.example,clicked,7
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1007,ravi.chandran@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1008,nora.vasquez@acme-analytics.example,clicked,3
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1009,theo.marchand@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1010,priya.raghavan@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1011,marcus.webb@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1012,elena.sokolova@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1013,dana.kim@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1014,tom.alvarez@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1015,yuki.tanaka@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1016,sam.osei@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1017,ingrid.bauer@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1018,carlos.mendes@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1019,aisha.diallo@acme-analytics.example,clicked,5
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1020,noah.lindqvist@acme-analytics.example,reported,110
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1021,fatima.alrashid@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1022,uma.tremblay@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1023,idris.oyelaran@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1025,dahlia.castellano@acme-analytics.example,reported,52
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1026,jasper.ishikawa@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1028,yusuf.mistry@acme-analytics.example,clicked,11
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1030,omar.haddad@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1031,lena.fischer@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1033,imani.engberg@acme-analytics.example,clicked,5
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1034,niko.xu@acme-analytics.example,reported,37
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1036,celeste.zielinski@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1037,petra.wilder@acme-analytics.example,reported,6
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1038,liora.larsen@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1039,wesley.varga@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1040,cedric.ashby@acme-analytics.example,clicked,30
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1042,derek.mun@acme-analytics.example,reported,78
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1043,selim.ibsen@acme-analytics.example,reported,87
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1045,zoe.xu@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1046,ulric.kovac@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1047,bruno.jovergaard@acme-analytics.example,reported,12
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1048,lorenzo.rourke@acme-analytics.example,clicked,19
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1050,felipe.castellano@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1052,rania.ueno@acme-analytics.example,ignored,
PHSIM-2026-02,2026-02-12T14:00:00Z,EMP-1054,ulric.jovergaard@acme-analytics.example,ignored,
